F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,Class
1,164.19,-4178.67,4.998,-2549.64,13.149,-2.3611,-5.2077,5335.84,35223.12,-1.82,9165.46,-4.207,0,0.21043,36.096,-2114.14,-7.218,-4488.06,-13.4058,-50.25,False
1,198.88,-3543.06,4.3077,-2756.201,14.838,-4.728,-5.0266,5798.16,35355.42,-3.82,10564.26,-3.88,0,0.133771,20.166,-1666.78,-4.9785,-4640.64,-14.673,-53.4,True
0,181.412,-4216.57,5.057,-2740.469,9.6429,-2.2035,-5.1951,4049.44,38741.13,-1.82,8653.606,-3.803,0,0.8911,11.5167,-1786.518,-15.399,-4306.77,-22.734,,False
0,171.074,-2659.26,4.3972,-2822.72,9.37761,-2.2478,-4.5436,4964.64,35331.99,-3.82,9721.86,-5.683,0,0.738,20.439,-1730.26,-5.3937,-4475.04,-18.099,-51.66,True
0,175.464,-2008.26,3.86574,-2441.84,12.1035,-4.413,-4.5974,5958.06,34318.53,-1.82,8525.34,-4.261,1,0.2437,3.864,-1744.3,-5.3109,-4709.85,-20.847,-51.63,True
0,199.5,-1781.26,4.1328,-3087.14,11.3391,-2.5115,-4.5508,4700.44,34835.43,-3.82,8991.26,-4.023,1,0.15647,27.651,-1770.0916,-6.4287,-4250.16,-14.4528,-52.77,True
0,169.33,-3210.26,3.9088,-645.74,12.0486,-4.044,-4.7701,6042.84,35346.81,-1.82,8650.258,-3.1946,1,3.284,22.311,-1830.56,-13.161,-4943.55,-16.053,-51.84,True
0,184.88,-4237.6921,4.2101,-3038.24,13.941,-3.133,-7.048,5074.64,35546.85,-3.82,9385.26,-2.9287,0,0.5313,16.212,-1766.902,-5.739,-3883.95,-15.189,,False
0,173.262,-4431.06,3.9779,-2728.03,9.9009,-2.4769,-5.855,5008.04,35261.037,-1.82,8779.16,-2.6186,1,1.557,3.615,-1739.44,-10.221,-4987.95,-16.143,-46.74,False
1,188.38,-4141.97,6.588,-2844.48,12.864,-2.488,-5.774,5519.44,35273.874,-1.82,8891.26,-3.673,0,2.374,19.332,-1399.94,-9.63,-4926.15,-14.9967,-50.46,False
