F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,Target
-25.08,129.58,31.3,12,7.56,-88.8,-1811.64,16834.44,-1402.42,2016.42,139.5,13.34,292.74,-162.9,3176.28,-570.57,-393.76,1.21,30.9,-38.73,-506.08,9.44,6,2356.66,20699.06,-129.78,8,-706.41,Low,-21138.9,-60.18,UK,-9094.92,60.99,-79.1,-140.95,331.17
-28.14,115.72,33.98,1.41,12.35,-76.28,-1641.91,11592,-1417.38,-3699.15,1562.25,13.67,376.23,-279.3,4248.78,-603.96,-219.3,0.04,11.31,-170.13,-600.96,5.36,2,2195.58,14571.76,-162.16,10,1414.05,Very high,-16681.14,-33.48,USA,-13284.1,55.47,-120.86,-158.57,659.81
-27.48,62.54,27.4,4.29,8.98,-116.06,-2288.37,19803.33,-1261.72,-3151.6,920.04,3.22,273.03,-379.71,3142.26,-549.84,-91.01,1.73,0.69,279.91,-477.86,-14.06,8,4062.98,18791.38,-126.36,14,612.69,Medium,-4749.6,128.08,UK,-12784.39,56.73,-67.2,-165.59,933.24
-23.4,69.24,18.52,-0.57,17.24,-81.36,-1602.93,21335.7,-252.64,-4038.01,150.99,12.15,229.68,-294.75,3673.2,-484.77,654.16,4.38,22.98,296.26,-500.98,2.98,14,3088.58,20703.74,-141.16,10,-700.44,High,-27214.56,-101.84,Rest,-12678.65,71.28,-70.42,-213.46,118.43
-31.92,-194.34,22.66,12.18,14.12,-78.24,-2251.44,48551.61,-1770.48,1204.17,2242.44,12.07,353.34,-343.38,3940.26,-557.64,83.8,221.62,5.43,147.17,-595.94,18.58,12,3419.3,8301.38,-125.84,8,358.2,Low,-22507.92,-11.64,UK,-16637.84,58.89,-108.6,-231.66,870.91
-31.4,237.58,13.3,18.21,4.54,-236.36,-2301.36,31420.47,-27.42,-2336.2,-163.89,8.86,83.91,-126.69,4043.79,-557.34,-201.01,49.41,33.84,-91.51,-544.22,12.1,12,3630.14,25611.34,-135.81,6,827.94,Low,-18766.14,-94.84,UK,-9153.1,62.31,-56.46,-156,1794.8
-10.62,113.98,21.52,14.46,13.82,-114.24,-2531.48,35692.95,-1667.72,-5698.37,2354.4,12.47,325.8,-270.21,3657.57,-574.47,-45.87,0.52,16.56,104.49,-477.94,19.7,8,4769.16,24542.9,-124.81,4,570,Medium,-14541.81,-91.86,USA,-10654.22,70.35,-59.83,-177.44,169.88
-25.82,84.44,20.5,-6.81,17.18,-95.3,-2536.86,23628.27,-1771.26,-604.53,1060.56,13.28,279.54,-414.87,2691.36,-870.18,-211.09,2.27,6.54,343.35,-474.96,4.6,10,4174.36,17531.92,-170.07,6,394.65,Low,-33202.92,-71,Europe,-13686.38,69.06,-125.86,-182.09,-115.32
-28.48,111.36,32.36,21.63,13.05,-105.96,-2114.89,23422.92,-1020.56,3938.96,2068.95,8.21,155.4,-284.91,3779.22,-529.95,142.72,0.9,6.45,380.94,-547.48,-2.54,6,2902.86,23692.5,-97.11,4,998.25,Very high,-27340.02,-58.62,USA,-7127.96,64.05,-75.26,-200.4,889.85
-27.96,114.66,-7.24,-5.31,5.95,-102.28,-2223.06,33705.87,-1038.46,1719.56,2586.72,12.82,300.9,-326.43,3970.77,-628.11,-232.28,17.27,12.06,106.27,-489.12,2.92,10,3681.78,9394.08,-116.18,4,858.81,Very low,-21744.15,-84.3,Rest,-13462.16,64.68,-126.16,-301.3,1195.16
-16.44,-71.9,22.24,2.64,11.13,-148.48,-2109.52,33834.51,-755.5,1473.94,614.97,4.73,315.15,-207.87,2047.35,-425.13,257.55,0.02,19.08,205.31,-861.94,12.3,16,4134.08,24274.32,-97,6,190.71,Medium,-25057.86,-59.82,Europe,-13213.03,58.29,-75.08,-113.2,154.99
-32.28,83.22,9.18,5.19,10.16,-122.9,-2049.2,33145.14,-818.6,3310.8,877.02,7.34,290.25,-262.47,2652.66,-575.22,-719.3,70.79,10.35,469.48,-677.98,14.4,14,2925.5,26334.94,-142.1,12,458.22,Low,-8150.79,-57.56,Europe,-11995.96,78,-77.39,-126.25,1.09
-22.2,94.24,25.22,16.32,15.38,-115.2,-946.94,15554.43,-445.22,-618.36,1655.88,13.88,232.41,-225.33,3598.05,-513.21,32.84,6.3,2.34,-216.01,-532.96,-19.24,16,4279.96,12718.22,-98.48,2,44.91,Very low,-12483.93,-184.56,Europe,-9387.58,63.48,-89.21,-198.78,2713.1
-25.7,46.96,14.62,11.76,9.82,-64.98,-2146.42,19755.84,-629.72,-3451.24,1086.69,12.2,228.3,-172.68,3856.44,-544.35,-6.25,2.77,4.23,38.05,-549.96,4.68,4,3841.56,21012.64,-117.46,4,197.49,Low,-18777.99,66.42,Europe,-13878.66,59.67,-38.74,-191,3513.83
-31.16,67.84,31.94,3.72,16.62,-27.18,-2812.18,24851.49,-1302.92,-658.79,1630.98,9.61,181.8,-72.81,2668.14,-348.48,54.49,9.66,14.4,220.83,-531.72,-6.66,10,2648.02,25913.54,-153.7,6,1085.1,Very high,-27860.46,82.08,USA,-7281.31,54.39,-118.75,-193.1,1132.56
-32.04,18.92,25.7,12.93,9.09,-169.44,-2313.23,35294.43,-1492.84,-293.35,-195,16.67,325.11,-194.64,3881.04,-500.4,-197.38,0.95,10.65,-86.67,-533.42,7.48,16,3605.78,21220.12,-136.26,12,541.56,Very low,-19546.86,-172.1,Rest,-8394.73,85.38,-74.4,-160.07,-1550.15
-23.26,148.08,17.5,5.46,7.68,-143.64,-2642.17,25536.18,-781.12,-303.98,2006.55,12.67,450.72,-110.25,887.01,-725.52,-269.01,0,12.12,-289.2,-605.14,2.6,4,2834.04,8443.98,-142.01,4,885.69,Medium,-27579.39,-138.16,USA,-12184.65,68.37,-51.91,-161.91,116.05
-22.58,121.84,24.58,2.67,18.57,-99.92,-1916.47,23856.9,-830.14,-4331.71,-179.22,11.98,358.8,-352.11,1595.19,-528.96,-261.46,0.06,3.6,405.97,-392.6,12.34,6,2675.68,26013.22,-142.36,10,-1222.8,Very high,-34819.92,32.58,UK,-10885.43,60.48,-85.18,-186.78,560.49
-19.56,67.9,26.96,24.78,13.3,-182.66,-1657.36,17200.44,-495.02,3490.81,1984.56,24.33,205.68,-182.58,3091.02,-752.64,-499.64,0.56,20.19,139.36,-522.78,9.54,10,4535.72,9152.92,-129.53,8,779.85,Very high,-15489.51,-6.94,Europe,-12089.03,62.07,-44.06,-232.48,3252.92
-24.94,91.08,42.1,10.38,-3.41,-133.6,-2697.87,27633.99,-1596.98,-2397.97,579.87,10.41,266.73,-341.79,3370.38,-704.43,97.98,0.08,11.07,720.33,-533.26,32.6,12,4099.4,29019.8,-153.36,6,-160.83,Very high,-1126.92,20.5,USA,-15297.54,62.1,-88.4,-230.37,519.11
-20.36,62.72,45.28,2.31,10.58,-22.96,-2258.35,20997.6,-1211.5,-366.89,-291.36,4.99,406.02,-169.38,2110.23,-608.64,-86.34,49.95,28.74,409.9,-486.46,-8.7,14,3391.7,16151.18,-83.45,10,-591.18,High,-13084.47,-80.44,USA,-7910.17,62.88,-75.76,-218.29,522.06
-28.24,255.98,22.44,-3.15,9.87,-134.08,-2263.77,33318.66,-1282.8,-1149.17,1391.82,11.64,256.71,-307.59,3760.35,-450.33,158.38,7.21,6.93,-284.83,-633.54,17.24,10,3886.14,31759.7,-136.09,6,219.12,Very low,-20670.06,-125.52,Rest,-13404.7,64.08,-138.33,-261.82,145.34
-28.92,12.02,17.5,8.85,11.45,-90.38,-2086.85,12253.32,-1672.92,2444.5,2304.09,15.14,282.9,-272.16,4255.08,-542.85,-1102.71,245.01,42.78,-209.67,-628.96,3.96,6,3419.2,17012.4,-133.44,6,270.06,High,4101.36,151.6,USA,-7097.51,59.37,-69.18,-172.57,1596.99
-14.32,221.76,25.66,-4.35,11.75,-111.36,-2389.72,24988.8,-1103.36,-6306.6,2030.01,12.31,-30.72,-447.39,3170.64,-573.27,133.95,7.06,7.11,195.98,-596.66,6.24,6,2879.12,22116.98,-98.65,2,562.35,Very low,3594.9,-62.74,USA,-13830.76,80.49,-60.29,-161.02,395.25
-32.36,7.24,36.2,7.53,18.71,-147.64,-2290.36,29162.55,-1325.54,3757.09,865.86,5.91,441.84,-193.98,2711.31,-309.99,68.84,0,10.41,530.29,-329,5.22,8,3068.14,11551.22,-132.52,14,177.3,Very high,-10799.73,-73.86,Europe,-10173.11,59.88,-115.24,-180.03,46.44
-34.78,90.38,32.92,1.89,11.54,-53.7,-2943.27,37114.35,-181.26,-2416.26,373.14,14.1,257.13,-294.09,3538.47,-613.83,193.29,2.44,7.62,81.39,-480.1,15.1,16,2713.06,17317.16,-101.21,6,1672.17,Low,-21131.85,-89.54,UK,-12835.82,56.25,-78.95,-174.13,1506.14
